prompt_id,original_id,baseline_diff,choice_original,num_choice_flips,flip_layers,max_causal_score,min_causal_score,mean_causal_score,peak_layer,ethical_option_base,ethical_option_cf
p001,G_058,-6.843750,2,36,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35]",-7.054688,-10.789062,-9.042860,10,1,2
p002,G_112,-3.562500,2,7,"[0, 1, 2, 3, 4, 5, 30]",-0.484375,-5.914062,-2.398003,33,1,2
p003,G_030,2.148438,1,15,"[6, 7, 9, 10, 11, 13, 15, 16, 17, 19, 20, 21, 28, 29, 30]",3.789062,-0.554688,1.646701,6,1,2
p004,H_093,-3.828125,2,24,"[6, 9, 10, 11, 12, 13, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 26, 27, 29, 31, 32, 33, 34, 35]",-2.976562,-6.359375,-4.454644,1,1,2
p005,G_175,-1.289062,2,36,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35]",-2.789062,-7.906250,-4.395182,19,1,2
p006,G_062,-0.710938,2,26,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 21, 22, 23, 24, 25, 26, 27, 28]",0.515625,-3.804688,-1.700087,31,1,2
p007,G_295,-7.171875,2,6,"[30, 31, 32, 33, 34, 35]",-2.054688,-9.367188,-5.910156,5,1,2
p008,G_210,-1.953125,2,10,"[0, 1, 2, 3, 9, 10, 11, 12, 13, 23]",2.773438,-5.820312,-1.152127,5,1,2
p009,G_564,-5.679688,2,23,"[0, 1, 2, 3, 4, 5, 8, 9, 10, 11, 17, 20, 21, 22, 23, 24, 26, 29, 31, 32, 33, 34, 35]",-3.742188,-8.867188,-6.201823,15,1,2
p010,G_356,-4.312500,2,34,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]",-3.882812,-8.820312,-6.213108,35,1,2
p011,G_396,-3.437500,2,12,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 20]",0.671875,-4.843750,-2.804470,30,1,2
p012,G_571,-6.539062,2,35,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35]",-6.328125,-11.085938,-9.449653,17,1,2
p013,G_303,-5.421875,2,9,"[27, 28, 29, 30, 31, 32, 33, 34, 35]",-1.585938,-9.718750,-4.073134,0,1,2
p014,G_461,-10.851562,2,25,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 31, 32, 33, 34, 35]",-9.656250,-17.328125,-11.778212,14,1,2
p015,G_507,4.093750,1,32,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 20, 21, 22, 25, 27, 28, 29, 30, 31, 32, 33, 34, 35]",9.312500,3.304688,5.995660,30,1,2
p016,G_125,1.500000,1,0,[],1.140625,-3.281250,-1.407552,31,1,2
p017,G_225,-1.421875,2,31,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 34, 35]",-0.585938,-8.960938,-4.927734,30,1,2
p018,G_570,-0.851562,2,2,"[10, 11]",4.453125,-1.773438,0.805990,0,1,2
p019,G_040,-3.257812,2,36,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35]",-3.507812,-9.703125,-5.914280,6,1,2
